contextTitle,tweetId
lil dutty - The Come Up  Mixtape - Stream & Download,700
RIP Carrie Fisher Star Wars Princess Leia Men's Long Sleeve T-shirt New | eBay,733
Earn money on short links. Make short links and earn the biggest money - shorte.st,744
Snapchat photo with cash sends a 19-year-old woman to jail | Miami Herald,773
10 Reasons to Believe In Heaven | BCNN1 - Black Christian News Network,729
drifterup Medical News,768
Don't Let the Race-Baiters on the Right and the Left Divide Us,753
Color me beard. : BlackPeopleTwitter,747
drifterup Medical News,776
Get Sex - Chemistry Between Two people Not just Mad Science,769
Death toll at 73 in Iraq suicide car bomb claimed by Islamic State - Daily Press,807
drifterup Medical News,816
,815
Folding Quarter Knife: 6 Steps (with Pictures),836
Flower brooch pin felt flower brooch felt jewelry wedding,779
"Fort Dodge man accused of assault, animal abuse arrested in North Iowa | North Iowa Crime & Courts | globegazette.com",832
Rape victim fights her attacker over rights to ...,780
Death by Exercise Can Kill You - America Out Loud,640
drifterup Medical News,847
Fortinet 2017 Cybersecurity Predictions: Accountability Takes the Stage ,819
Adam Ruins Everything: The Sinister Reason Weed is Illegal – Weed News,766
DRUNK STONED OR STUPID [A Party Game] - Klookl,846
"7 People Killed, 29 Injured After Derailed Tanker Train Explodes in Bulgaria | BCNN1 - Black Christian News Network",795
"
	An epidemic called MMM
",870
2016 Iowa Newspaper Association all-state football teams | North Iowa High School Football | globegazette.com,913
,905
Amazon.com: Armor All Extreme Wheel & Tire Cleaner (32 fluid ounces): Automotive,868
Antique and vintage home decor and collectibles by Duckwells,887
,924
,903
,920
Happy New Year Photos Download – pembuat,925
"Amazon.com: Attmu 50 PCS Reusable Fastening Cable Ties, Microfiber Cloth 6-Inch Hook and Loop Cord Ties, Black: Electronics",889
"R.I.P., William (Bill) Potts — Sculptor of the People | Westword",916
Colourful Illusions,927
Globe Gazette Cheer fund helps spread holiday cheer | Mason City & North Iowa | globegazette.com,944
Toys in the Sun Run parade will impact Broward traffic Sunday morning | Miami Herald,945
Does Casein in Milk Trigger Type 1 Diabetes? | NutritionFacts.org,911
,943
Earn money on short links. Make short links and earn the biggest money - shorte.st,936
Mourners stand vigil for Mason City murder victim | Mason City & North Iowa | globegazette.com,968
,978
Christian Pastor In Turkey Imprisoned And Accused Of Armed Terrorism Links | Christian News on Christian Today,984
drifterup Medical News,958
New Photos Reveal Shocking Horrors Of Life In North Korea\'s Brutal Prison Camps | Christian News on Christian Today,932
"2 accused of gun threat, harassment in Mason City | North Iowa Crime & Courts | globegazette.com",989
 9 Signs Telling You It's Time to Seek Help for your Depressed Teen? - Open Forest ,880
drifterup Medical News,996
Woman Jailed for Beating that Killed Teen Boy Who Talked About Leaving Church Cult | BCNN1 - Black Christian News Network,930
,1000
You need a girl? Just get some keys of a nice car!!! - TOP10 PRANKS,986
Earn money on short links. Make short links and earn the biggest money - shorte.st,985
"
                One Turkish soldier killed in car bomb attack in Syria's al-Bab: army | Reuters",1018
Full Content RSS Feeds Generator,1026
"	Father, aunt accused in death of 15-month-old girl who died of methadone overdose | 						OregonLive.com",1042
Solo Build It! (SBI!) Reviews and Real Life Success Stories,1022
"""How's your year going?"" : funny",1031
Musician Convicted Of Child Abuse Beaten To Death In Church | Christian News on Christian Today,1070
"Morning, November 29th (Spurgeon's Devotional)",1075
Vintage Barware Ceramic Whiskey Cup Martin's Original,1069
11 nutrition tips for your work day - Khaleej Times,1087
Lionel Richie and Mariah Carey Unite For Joint ‘All the Hits’ Tour In 2017 | BCNN1 - Black Christian News Network,1078
,1099
,1113
,1109
"Thirteen Turkish Soldiers Killed, 48 Wounded In Car Bomb Attack | Christian News on Christian Today",1117
Could an Antidepressant Prevent Depression After Traumatic Brain Injury? – Healthy Living and Happy Lifestyle,883
"Psychology Around the Net: November 19, 2016 – Healthy Living and Happy Lifestyle",1110
Photos: Christmas by the Lake 2016 | Mason City & North Iowa | globegazette.com,1159
Earn money on short links. Make short links and earn the biggest money - shorte.st,1167
Airbnb outlines where it's willing to compromise with regulators,1168
Blast Furnace Park - Lithgow by Dwight D'Cruz - Photo 104469665 / 500px,1146
,1181
How Sharing Struggles Can Help You Gain More Freedom | Christian News on Christian Today,1185
Various Artists - Mixtape Mafia Vol.1 Hosted by K.O da Pharaoh Mixtape - Stream & Download,1177
Ep. 282: Goal Setting & Focus Beyond Taco Bell and Beer Money with Ryan Ayres — Doug Sandler Podcast by the Nice Guys,1190
Josh Marks - StraightJacket  Mixtape - Stream & Download,1183
Jaw-dropping kinky damsel cathy A Tiny Horny A Tiny Nice seeking free sex - Sexting Snap,1176
"
Susan G. Komen® - Los Angeles County Affiliate


",1194
2 Killed in Car Bomb Attack in Southern Turkey | BCNN1 - Black Christian News Network,1154
,1208
Russian Reality TV Contest Allows For Rape & Murder,1224
,1221
,1205
Lauren Jauregui Wins Best Social Media of 2016 in PopCrush Fan Choice Awards,1223
,1228
Happy New Year JC Fam!! – Celebrity News South Africa,1209
Earn money on short links. Make short links and earn the biggest money - shorte.st,1226
"Abraham-Hicks on Health, Healing and the Law of Attraction",1234
,1261
"
  Pay-for-performance drug pricing: Drugmakers asked to eat costs when products don't deliver  - Modern Healthcare
",1243
"
                Jordanian gunmen planned wider attacks: minister | Reuters",1262
How To Deal With Loss & Grief During The Holidays - mindbodygreen,1247
Chuck Noll: His Life's Work: Michael MacCambridge: 9780822944683: Amazon.com: Books,1241
,1293
,1281
Famous Landmarks Being Built | Epphany.com,1284
,1292
,1297
Conservative advice for Trump on Cuba | Miami Herald,1320
Stray cat murdered by neighbour caused its carer to suffer depression,1301
Mysterious ‘Crater’ in Antarctica Is the Result of Ice Melt | BCNN1 - Black Christian News Network,1206
Etsy :: Your place to buy and sell all things handmade,1300
drifterup Medical News,1325
,1355
"The NFL has added a skills competition to the Pro Bowl — including dodgeball! — in an effort to make the event more interesting, Business Insider - Business Insider Singapore",1369
It's the beginning of the end for NASA's Cassini spacecraft,1377
The exponential strip formula. : BlackPeopleTwitter,1346
drifterup Medical News,1371
"With 9 Dead and 24 Still Missing, Mourners Gather at Church to Remember Victims of Oakland Fire | BCNN1 - Black Christian News Network",1258
drifterup Medical News,1384
Inspirational Female Entrepreneurs,1380
Nutrition 101: Eat To Build Lean Muscle,1392
drifterup Medical News,1404
Google WiFi review: A hassle-free router comes at a price,1405
drifterup Medical News,1439
,1444
"
                Air strikes kill 73 in rebel-held Idlib province: war monitor | Reuters",1452
Oops…Leak Shows Rex Tillerson is Director of U.S.-Russian Oil Company in the Bahamas | BCNN1 - Black Christian News Network,1430
,1418
Fisher Price Baby Meth Lab Kit - Just in time for Christmas! : memes,1428
drifterup Medical News,1454
Earn money on short links. Make short links and earn the biggest money - shorte.st,1467
Resentment Can Damage Marriage Even More Than Cheating,1472
Who Do You Love?,1491
drifterup Medical News,1513
Ever Wondered What That Convex Mirror Is Doing Next To Your ATM Machine? | WorldTruth.Tv,1493
"Augustus Tolton, First African American Priest In U.S., Is One Step Closer to Becoming a Saint More Than Century After His Death | BCNN1 - Black Christian News Network",1376
,1530
Book trailer When the Dead Speak the Art & Science of Paranormal Investigating Coming Fall 2015 - YouTube,1537
MEMBS | News | Details,1523
Uplifting : dankmemes,1534
Eating Raw Foods vs. Cooked Foods: Which is Better?,1571
Holiday Gift Ideas for Women Who Love Fitness | Fitness Magazine,1564
Predictive #Analytics and #IoT | @ThingsExpo @Ontegrity #BigData #AI #ML #DL | @ThingsExpo,1475
"
	S 1019 : arzillion
",1567
drifterup Medical News,1575
" 
            Right Relevance : Influencers, Articles and Conversations
        ",1573
,1605
Slice of a Tree Table: 5 Steps (with Pictures),1621
Earn money on short links. Make short links and earn the biggest money - shorte.st,1610
The prequel : BlackPeopleTwitter,1607
7 Things I Swore I'd Never Do As A Mom — But Ended Up Doing Anyway - mindbodygreen,1611
Earn money on short links. Make short links and earn the biggest money - shorte.st,1615
Pay It Forward in a Take It All World — Doug Sandler Blog,1633
,1648
drifterup Medical News,1662
From Addiction To Zika: The Biggest Health Stories Of 2016 | Kaiser Health News,1668
"Pamplin Media Group - Here we go again: snow, ice hitch a ride on blast of arctic air",1577
"
	Islamic cleric jailed for stealing, assault
",1631
Amazon.com: BFGoodrich All-Terrain T/A KO2 Radial Tire -LT275/70R18/E 125/122R: BFGoodrich Tires: Automotive,1630
